sentence,label
Are you in a safe location with the vehicle at the moment,breakdown
"Please remain with your vehicle, a mechanic will be at your location shortly",breakdown
Could you please describe the issue you are facing with the car,breakdown
Can you describe the events leading up to the car breakdown,breakdown
There is a garage within 1 km of your location,breakdown
A tow truck has been sent out and will reach you in 15 minutes,breakdown
The nearest garage is 10kms away,breakdown
"You will have to change the flat tire yourself, do you have a car jack and a wheel spanner",breakdown
Do you have a spare tyre,breakdown
Remove the hubcap or wheel cover,breakdown
"You will need to jump start the battery, do you have jumper leads",breakdown
Put both the vehicles in Park or Neutral and shut off the ignition in both cars,breakdown
start the engine that is working and let it run for a few minutes,breakdown
pull the hand brake and put the car in reverse gear,breakdown
"Sir, I think your car battery has drained due to headlights being on the entire night",breakdown
There is an affiliated centre 2 kms from your location,breakdown
Please stop the car on the side and wait for roadside assistance,breakdown
Please fill some water in the engine water tank,breakdown
Place a small stopper such as a stone to prevent the car from moving ,breakdown
Make sure the warning sign has been placed at a sufficient distance from the car to warn incoming traffic,breakdown
Switch off the air conditioning of the car and open the windows,breakdown
"To remove water from the exhaust pipe, stop the car and press the accelerator a few times to let out some fumes",breakdown
Sir your car need to be taken to the garage and cannot be repaired on site due to lack of required equipment,breakdown
are you on the road or are you near your garage,breakdown
expect a call back from dealership to assist you with your breakdown,breakdown
we will get back to you when our breakdown assitant team reaches you,breakdown
I have already passed down your name and number to the team which will assist you,breakdown
How was your experience?,feedback
Your feedback is appreciated,feedback
This call is regarding your recent purchase of the Hexa,feedback
"This call is regarding the latest servicing of your vehicle, the Tata Tiago",feedback
How are you enjoying the new Tata Nexon that you purchased recently,feedback
"After your recent servicing of your vehicle, have you noticed any new issues?",feedback
Has the issue with your vehicle been rectified during the latest servicing of your car?,feedback
Has the car you recently purchased met with your expectations,feedback
We would like you to give us feedback either over call or online ,feedback
How was your experience with the timely delivery of the car,feedback
"sir how well is your car working after the yearly service, any new issues ?",feedback
Can you please give a us a feedback on your purchasing experience,feedback
How satisfied are you with the car,feedback
How would you rate your experience,feedback
We are sorry for your inconvinience,feedback
I have registered your complaint and someone will get back to you shortly,feedback
Grievance for price variation by the dealer,feedback
Kindly share the car variant you own and your contact number so that we can take your concern forward with the relevant team.,feedback
Can you provide us with a feedback for the waiting area.,feedback
I would like to take your feedback regarding the test drive of the new vehicle.,feedback
We would like to get your comments on the newly purchased vehicle.,feedback
How likely are you to recommend our services to other?,feedback
Were you satisfied with the services provided to you?,feedback
Were your issues resolved?,feedback
How long did it take the help to reach you?,feedback
We would like to know about your experience at the service center.,feedback
Did the showroom employee show you around a the vehicles you wanted to see and explain the features well?,feedback
hi this is a call from tata motors and we are trying to access your feedback,feedback
I have a set of questions for you and you can reply in yes or no ,feedback
was the engineer available to you on time after report of breakdown,feedback
how much was the delay in assistance and did the engineer give you a ring ,feedback
I am sorry for the inconvenience,feedback
was the work done to your satisfaction,feedback
can you please rate us on a scale of  1 to 10,feedback
Could I book you another test drive appointment ?,testdrive
Sir I would like to confirm the test drive of i10 on this Monday at 4 pm,testdrive
The model you requested will be available for a test drive tomorrow afternoon,testdrive
Sorry to inform you but the test drive that was booked for you has been cancelled,testdrive
For making a booking we will require a driver's license copy for all people who would wish to test drive the vehicle,testdrive
For the test drive you are required to carry your valid drivers license with you,testdrive
Due to unforseen circumstances the car you requested will not be available to test drive on the day you booked,testdrive
I'm sorry to inform you that your test drive will have to be postponed to later in the evening,testdrive
